670843527815954432***,***No tengo sueno wnn
635104447279034368***,***RT @sebatierra: Ni ahi aparentar weas ☺
634909756507951104***,***Unnnn manjaaarrr
634909224376659968***,***RT @PedritoEngel: #Tauro sensuales a cagar pos nana. Se hacen los inocentes y como la Poseida: estan ardiendo por dentro 😈 Libertad a la co…
634900795109048320***,***En pocas palabras 🙆👇 http://t.co/9y9D58yUoT
634898009193623552***,***Hace siglos no hablaba con el O.o
634897493491347456***,***@franisidoraaa JAJSJSJSJS 😒😏
634897411102613504***,***Wn la angelina jolie esta en huesos
634892468299939840***,***No puedo emepzar una conversacion seriamente KAKSJSJS
634890500751912960***,***te conozco acaso? JAJA no
634889466214252545***,***Ya sigaa nms JA
634889387860434944***,***HUMILLACIONNNMN
634889023492915201***,***JAJAJAJSJJAJ qe chistoso tu
634888368837496832***,***"NANITA LAS RESPUESTAS" awnao nms
634885368966475776***,***El que busca dnd no debe, se entera de lo que no quiere💅
634876281197359105***,***@nferndeez si nos toca en la mnn a nosotros😓😓😓
634875559479234560***,***Bucha concert ql porque tiene que ser en la mnn 😒
634862678238957568***,***RT @roroquita: Que rico es dormir
634848158959443969***,***RT @_JavieraV: ojala retroceder el tiempo 🕓😪
634847716758171648***,***Doler guatita😞
634787574561816577***,***Dormire un poco😴😻
634776845435670528***,***En la mnn nos comimos un completo con la fernanda JAJSJS
634776477775593472***,***Yo se de quien es esa letra😒
634769218039349249***,***Amor de bus😂
634766755102113792***,***La palabra que mas uso en el dia es tengo hambre 😒
634766529826041856***,***Tengo  hambre 😕
634765846594854913***,***Que verguenza😳😔
634764771976474625***,***Bucha que era lindo😳
634764689080193024***,***RT @catalinabelenpc: Lluvia culia maraca
634764634449408000***,***Mas mojada no pude llegar wn
634543156500033536***,***Otro amor, otro cuento el futuro esta escrito 📝
634538136702484485***,***@nicodelcaserio bueno🔫🔪🔨💣
634537746053394432***,***RT @catalinabelenpc: Justo ahora ctm😪 puto utero
634537562045050880***,***Mucho dolor😿
634536799159910402***,***Yo lo matare wn me tiene chatA
634536669186793473***,***RT @OyeKarma: Los mejores momentos de la vida ocurren sin ser planeados.
634531933695905792***,***RT @franisidoraaa: Ser amiga de tu ex es como criar una gallina, tarde o temprano te lo terminas comiendo JAJAJAJJAJAJA
634527133919002624***,***JSKSJS CUANDO ENVIE ESO SJSJSJSJS
634527129615659008***,***Tengo calor😐
634521531293544448***,***Grillo reql te mstare
634516126307864578***,***RT @danipd_: Minos care raja
634513697000583168***,***RT @baltimella: El error de los hombres y minas es que nos encarinamos muy rapido y nadie me puede negar esa huea 😌😏✌
634512000446504960***,***Tengo suenito😴
634504116023205890***,***QUE VERGUENZAAAAAA😳😳😂
634469337219375104***,***RT @FlLOSOFIAS: Lo facil aburre, lo dificil atrae, lo imposible obsesiona.
634466634783137792***,***Extranaba al negrito jasjsj
634466584636051456***,***Nanita JAJAJAJA
634177638542745600***,***Tengo dms sueno 😴😴
634164168824856578***,***Quiero cocadas😻
634155914208145408***,***RT @catalinabelenpc: No quiero ir mananaaaaaaaa😭
634154347048386561***,***Desde el lunes empiezo hacer ejercicio full💅
633790762459774976***,***asi tocamos el cielo Pecando,Amandonos
633789782309634049***,***RT @franisidoraaa: Todavia te quiero aunque no te espero, siendote sincera
633766825751412736***,***@_JavieraV yo igual nanita 😞😞
633766688257916932***,***@_JavieraV estudiar ahora y dormir bien 😏
633754919191707648***,***Todavia esta este grillo maldito en mi pieza😡
633754703268962305***,***Me encanta que mi mama me ayude a estudiar biologia le entiendo tanto 😍💅
633439180463439872***,***Aveces tengo un caracaacter
633439033478262785***,***RT @Chelomoon: Cuando demuestro carino es por algo, mi personalidad es una mierda
633437288949772289***,***El dia en que mi mama no este yo sinceramente me muerooo
633437042664448000***,***@fer15_rodriguez hasta los dedos estan mas acompanados
633420623251927040***,***Siri siri
633419942239576064***,***Nunca falta mi pan en las mananas JAJAJ
633419808172843008***,***@SofiaVegaContre  jajsjs me muero de hambre sin tu comida😓😿
633407975198167040***,***Extrane pedirle barrita a la sofi😓
633403149081026560***,***Me duele mucho mis labios👄😪
633382939028553728***,***Me tengo que tomar los examenes😓
633378169127596032***,***RT @_JavieraV: y te propongo que lo pienses dos veces, que te tomes tu tiempo que lo hagamos lento
633364247028830208***,***Estoy super cansada😞
633113501364563968***,***@fer15_rodriguez me retiro entonces
633113308778876928***,***@fer15_rodriguez no te cansaras de comentar
633113072996122624***,***@fer15_rodriguez son cosas que pasan
633112941945077760***,***Pq vos se nota que no me queres se nota que ya no hay amor entonces ya no hay mas que hacer y yo me dedico al alcohol🍺
633111921722568704***,***Que comience el juego
633111568004317184***,***@eileen_atorres exacto
633111417231642624***,***Nunca podre estar seria, siempre ando happy
633111050506866688***,***Aveces hablo puras weas estupidas
633110963810639872***,***@fer15_rodriguez y muy estupidas
633110909800611840***,***Nunca logro quedarme dormida temprano😓
633110071728308224***,***Ya empezo este par😐
633109976408563712***,***@eileen_atorres @fer15_rodriguez bta se callan malditas
633109739799465984***,***@fer15_rodriguez tenias que apareces
633109616373727232***,***@fer15_rodriguez @eileen_atorres no se seco segun yo O.o de todas formas igual lo llevare
633109476686569473***,***Recordatorio: cambiar esta maldita pantalla
633109325863616512***,***Aveces todo lo que toco se rompe o se pierde, aveces nms..
633109182187741184***,***@eileen_atorres muy bien❤💅
633108983943929857***,***@eileen_atorres juju te adoro😘 acuerdate del esmalte
633108203031633921***,***Ojala sea una buena semana😒
633107534254051331***,***Rayos😔
633107448035979264***,***RT @sebatierra: Tengo peniwis
633107119991058433***,***Fds paso volandooo😩
633066565508931584***,***Tengo hambreee😞
633066467462914048***,***RT @_JavieraV: juro solemnemente que mis intenciones no son buenas
632960455103901696***,***@fer15_rodriguez 😐😓😔
632957633729830912***,***Me dieron ganas de comer ciiruelas verdes😻
632759913748545536***,***RT @Jo_Monsalve143: Extrano el ano pasado
632757813878648833***,***La risa del cristian es de awnao
632741429526315008***,***RT @FIL0S0FIA: Sabes mi nombre, pero no mi historia; has oido lo que he hecho, pero no por lo que he pasado; sabes quien fui, pero no sabes…
632741132045258752***,***Tengo frioo😞
632738727194980352***,***Tengo muchas cosas que comprar 🙆
632738649617076224***,***Tengo que juntar plata isksjs
632737315870351360***,***@fer15_rodriguez yo mas!💞😿
632732399026208768***,***Si desapareces, despareces conmigo
632731409577312260***,***Todo por la 🐸 qla
632714257705095168***,***@fer15_rodriguez que felicidad😍💅
632711612894433280***,***@fer15_rodriguez eso mismo
632711574533373952***,***@fer15_rodriguez wea iguales
632708228770627584***,***Quiero hacerme la wea luego en el peloo💆💇
632706911943684100***,***@fer15_rodriguez 👀 sera
632705693804548097***,***Le iba a regalar un iphone 6,ropa, un viaje pero quiere una peppa pig sera
632428719244738560***,***@Leivoon no😒
632427636225089536***,***No puedo dormirr😿
632417783557541888***,***Nadie ha sido como tu pero nadie es como yo😏
632412647074471936***,***RT @eileen_atorres: Me cae mal la hueona y no hay remedio para eso
632410850540843008***,***@fernandavilesss jsdjsj no importa, te extranooo😿
632410425510989825***,***@fernandavilesss rayos me imagine eso y ahora no podre dormir
632409824500797440***,***@fernandavilesss me desespera su sonido JAJSJ
632409184894586880***,***@fernandavilesss tengo uno en mi pieza 😒 JSKSJSSJ
632405848216707072***,***Tuuutito😴🙉
632400486969278464***,***Por que no te atreves,si yo se que quieres 🎵
632373106359857152***,***RT @aralis97: van a sacar toy story 4, los increibles 2, y buscando a dory  perdon pero no puedo madurar asi
632367367968960512***,***RT @PedritoEngel: #Tauro crease el cuento, una verdadera divaza no puede andar con pobrezas 💙
632358333714989056***,***RT @franisidoraaa: ME CARGAAAA CUANDO SALUDAN SOLO A LAS PERSONAS QUE CONOCEN
632357970333048833***,***Mmh mi mama salio a carretear😒
632319803814998016***,***Yo soy como soy, a quien le guste bien y a quien no tmb
632315783616573441***,***@carito_andrea16 Nada carito❤gracias por preocupartee❤❤😓
632308796707217409***,***RT @SofiaVegaContre: que triste todo, pero gracias a Dios me di cuenta de ene cosas 😔
632308009541218304***,***Mas wna que leer todo el libro cuando habia que leer solo un capitulo
632307062026960896***,***Penita en mi ❤
632306257257435137***,***Y ahora con quien cantare mis canciones de franco de vita😔👸🏼
632305839135674368***,***Como tan awnao que no se da cuenta
632304777859309568***,***Momento cursi
632303496654680064***,***@fer15_rodriguez inlov
632303414697926656***,***@fer15_rodriguez te tengo que contar algo
632302878405828609***,***@fer15_rodriguez ejale JGJHG
632302700131155968***,***@fer15_rodriguez te amoo💞
632299676042166272***,***SJSJSJS mi mama le hizo una broma a la fer jajsj😂😍
632276787200978944***,***RT @callmequeenbw: No es que yo venga con actitud de diva, 1 es que lo soy vale?💁
632252316331180032***,***Mmmmmmmmmmmmmh
632245368596602880***,***RT @paulinaott: Conmigo no perrita☝🏼
632245297423495168***,***Quiero saber mi nota de biologia😍😍
632244515538096128***,***RT @_fvillablanca: si alguien hace que tu corazon lata con fuerza y tus manos tiemblen, no es la persona indicada, cnd conoces a tu alma ge…
632236078741782529***,***Pucha mis audifonos se me perdieron 😓
632231777361391616***,***Lo extranaba dmsssss😔
632162765881372674***,***Que paja wn
632162482820354048***,***RT @UnaExCabrona: Hay personas que llegan de la nada y se convierten en tu todo.
632161731054333952***,***Tengo hambre 😥
632012471537139712***,***RT @vitoko_carrasco: Me encantan los besitos en la frente😳
632009074134110208***,***@eileen_atorres no te llevo el esmalte crm
632007423407050752***,***Ohh mnn no quiero ver mi nota de fisica jaksjss
632005573437988864***,***RT @sepuulvedam: Todo se sabe, sea bueno, sea malo
631948328041881600***,***Bta que extranare a la sofi 👸🏼😿💞
631947208334643200***,***RT @eileen_atorres: Pase verguenza wn, siempre lo mismo hsjdjf😳
631936471574953988***,***Puras desgracias con la elieen😓😂
631766167569481728***,***Que pajitaa
631765726718783488***,***RT @sebatierra: Y vendran mejores dias ☺💪💚
631650027191054336***,***Despues de tanto tiempo te vuelvo a encontrar yo muero por ti no importa lo que digannnn
631648970100633600***,***Me motiva secrets😂
631571371806560256***,***Tengo muchisimo sueno pero tengo que leer 😒
631571271109750784***,***RT @PableteSeverson: &gt;&gt; Sabes algo, das pena...
631571136300609540***,***RT @FraseDeSarcasmo: Odio cuando estoy enojado con alguien y ese alguien me hace reir.
631561354185449472***,***Weon hasta mi fondo de wsp 😤
631557482096275456***,***Liindo fondo 😂😒
631525701196320768***,***Tu estas con el, pero yo se que cuando estas en la camita piensas en mii
631525369422716932***,***Tengo hambree😖
631295919963697152***,***😴😴😴
631295359810162688***,***RT @vitoko_carrasco: Simplemente la felicidad es la clave👌
631291308028596224***,***Mishhhhhhh
631290630950518784***,***Mg webiar a mi mama por wsp😂
631273340754370560***,***Tengo que subir mis notas igual😏
631196940169019392***,***RT @holavillablanca: si me pagaran por ser manosa seria millonaria, pero como nunca me van a pagar, voy parar la hueaita.
630944379612594177***,***RT @maririverosb: Buenas nochessss😴
630944124582109184***,***Es hora de hacer tuto😴
630943318017474560***,***@_JavieraV YO IGUAL WNNAAAA😥😥❤dkjsjs
630943112865705984***,***@_JavieraV PERO JAVIERAAA AKSJ
630941281347371008***,***Tiempo al tiempo todo llega a su momento😏
630937559443591172***,***RT @lincitto: me voy a dormir con la esperanza de que manana sea un dia mejor y no tan yeta 😩🙏🏻
630916569724534784***,***No me pienso planchar mas
630916267956957184***,***Mision: subir la nota en fisica 😕
630916038775959552***,***Tu me dices si yo paso y te recojo en el rojo pide lo que quieras cumplire tu antojo
630915247352713216***,***Quede super imprecionada con lo aue me mostro parra😐😟
630913711310532608***,***@fer15_rodriguez weno
630912221212725252***,***@fer15_rodriguez dormi toda la tarde
630911784308883456***,***¿Que otra cosa puedo hacer? si no olvido, morire
630911405835821056***,***@fer15_rodriguez JAJSJS yo tmb 😘
630911094241017856***,***Me subio mucho el animo lo que me dijo mi mama😍
630910402814156801***,***@eileen_atorres JSJSJSNJS te extrane 😔
630903832273420288***,***Se me olvido leer😕
630846513602801664***,***Quiero  dormir 😓😴
630845873870782464***,***RT @catalinabelenpc: Ojos que no ven amigas que te lo cuentan👀
630556422783283200***,***Hoy estaba tan aburrida que vi los locos adams
630556147922173952***,***@fernandavilesss JAJSJSJ yo igual nanita😔
630555561537486848***,***Turn down for what ti ti ti ti tititi
630549455100637184***,***Le paso  por hocicona
630516909906206720***,***Me quiero ir wn
630516839118934017***,***Maldita rutina😒
630479676159455232***,***Ojala quede bonita mi cartita humilde
630479588175519744***,***@fer15_rodriguez si cache🐸🔫
630479016567394304***,***🐸 qla
630478092402827264***,***@fer15_rodriguez yo mass💞❤
630477838114799616***,***@fer15_rodriguez tranquila ya la tendras😽😏
630413553082761216***,***RT @maririverosb: todo me da celos TODO
630409163252854784***,***Quiero chocolate blanco😍😍😍😍
630407575843012609***,***RT @alison_cgm: 😘😘😘 http://t.co/x91q2lnVn8
630222286977675268***,***Cuatico el viento💨
630207813780901888***,***Que hace frio❄☔
630202099977068545***,***Una vez me saque la cresta en un columpio
630201371787182080***,***RT @danipd_: Me da miedo el viento 😨
630182858204835840***,***Bucha yo igual quiero un gatito o un perrito😒
630181943729106944***,***RT @tauro_hn: #tauro es insistente, y mucho. No para hasta tener lo que quiere.
630181550777307136***,***huele a peligro ese deseo que se esconde en la mirada el fuego atroz de una pasion desesperada
630179992710811652***,***@eileen_atorres rayos ahora cache AJJSSJJSJSJS
630177476396875776***,***Si necesita reggaeton dale sigue bailando mami no pare
630176417993609216***,***RT @HoroscopoViral: #TAURO: podras equivocarte una vez. Pero nunca dos. Aunque a veces no lo parezca, sabes y recuerdas cada fallo que come…
630176137050746880***,***Lo siento los fds no me levanto temprano 😏
630175379156770816***,***Weno pero primero lo primer subir las notas
630175169999433728***,***SEPTIEMBRE LLEGA LUEGOOOO🇨🇱🍻
630173019646861312***,***Soy muy buena para ver peliculas la cague😼
630172539134853120***,***Para mnn le regalare el iphone 6 a la fernanda y ella a mi un auto maravilloso🙏
630172001706057728***,***Soy la mjr actuando jajssj👈😂😽
630171307389374464***,***RT @eileen_atorres: Felicidad x4😂💕
630171025028812800***,***Que risa JAJSJAJSJSJS
630131609107308544***,***RT @Camilapazq: que lindo los hombres respetuosos👏🏽
630112073834434560***,***Uhh tengo pena
630069409579683840***,***RT @2HLIFE: #En3PalabrasTeDigoQue quiero vacaciones eternas.
630069093748621312***,***Quedaran pulentos mis tallarines
630057760101679105***,***Tengo que leer el libro🙏
630056535817895936***,***Me gustaria volver  el tiempo atras👈
629848463187025920***,***Extrano a la nacha😔😔
629848042884202496***,***RT @YolandaSultanaH: TAURO: Tal vez hay cosas a las que no haz prestado atencion. Amate y quierete tu, el resto no te debe importar. No rec…
629838655570493440***,***RT @eileen_atorres: Quiero una micheloca🍺🍋
629834524424318976***,***Mama llega luego po😒
629711899219898368***,***Tengo dms sueno wn
629495497674346496***,***Sjjsjs amo a la isa JSKS❤❤❤
629489196156198914***,***RT @SofiaVegaContre: soy muy celosa con mis amigos 😼🙋🏼
629486870846701568***,***Ayudaaa🙏
629486142539345920***,***Caluga aplastada JAJSKAJS ctm
629483606411493376***,***Dormire😴
629467943601090560***,***Ya wn voy a ahorrar💶
629467575391514624***,***Una vez me encontre 10 lucas en la calle jadjjs
629465636670980096***,***Tapita por aweonao
629465368193581056***,***Ts y ahora quiere salir el maldito
629465061690617856***,***Uh no lei el libro
629463784269185024***,***@fer15_rodriguez con mayor razon voy😼
629461309021650944***,***Semana de mieeeeggggda
629461185415483393***,***Mnn voy por el test nms 😓
629459856085360640***,***Puedo ver divergente y insurgente miles de veces y no me aburre😻😻
629454685615820800***,***Tengo hambre wnnn
629454629273735168***,***Quiero ver bkn
629451026878328832***,***Ojala aprenderme esto de fisica 😓
629450580369514496***,***@beasyouare_ lindaaaaaaaa❤❤❤❤❤😻
629449492606152705***,***Por mi dormir todo el dia
629443736435564544***,***Fisica qlaaa
629443452934189056***,***Pretendo ir con mi pelo natural mnn🙆
629436139540213760***,***Que paja todo
629434785186885633***,***Bta elieen maldita😏
629432257225355268***,***No tengo ganas de nadaaa
629399413807419392***,***RT @Caaaaaaaamyyy: frenillos ctm los odios😞
629399242679816193***,***RT @_JavieraV: debo admitirlo, la odio
629229533993037824***,***Blw me mojare 😒
629049946864545792***,***Dia ql feoooo😓
629049646808211456***,***Tengo mucha hambre 😒
628767303769956352***,***RT @EnciclopediaCL: AWEONAOOOOO #manosalfuego
628767275823316992***,***Que es wnnn
628766262261321728***,***RT @Leivoon: La unica wea que he hecho estos dias es dormir
628762819186556928***,***Carita que pusoooo JAJSJS
628762517737762816***,***Que penita wn
628762040690167808***,***Y caga de la risa esta
628761653375553536***,***Mira la wna jajs
628759971606495232***,***RT @YolandaSultanaH: TAURO: Puede que no midas las exigencias hacia las personas que te rodean, cuidado. No olvides hacerte un auto examen.
628759229579534336***,***Nicaaaaaaaaagando
628758637025099776***,***RT @UrbinaYassna: "Capaz que pesque al otro y me haga un par de chalas" JAJAJAJAJAJJAJAJAAJJAAJAJAJJAAJAJJAA 😂😂😂😂 #manosalfuego
628757700516708352***,***Hasta cierra los ojos po wn AJAJSJS #manosalfuego
628757536771059712***,***RT @cesarppino: Ella no hizo nada como tan aweonao #ManosAlAfuego
628756542188310528***,***Me tengo que cortar las puntas 💇
628665854830510080***,***RT @Echague_21: Quiero verano, sol y playa, no pido mas 👌
628665788849876992***,***Tengo tanto sueno pero tengo que estudiarrr😓
628643395955752960***,***uhhh tengo que estudiar mate
628390203363827712***,***Dificil pero no imposible😏
628383663433121792***,***Este party va pa largo hasta el amanecer, bebiendo champana hasta enloquecer
628381917549830145***,***@matibenitehcam1 video ql ajs
628381606579957760***,***@matibenitehcam1 JSKSJS enfermo💞😂
628381048309723136***,***Yo que te falle a ti mil veces, sigo siendo tu dueno😏
628380791140163588***,***El no entiende el procedimiento, cuando y como darte un besoooo
628378492456058880***,***Que es wnnn😓
628377556463521793***,***RT @catalinabelenpc: Y por tiiii vivo aniquilado en el despecho reprimido ardiendo por lo celos lo odio aunque el te haga felizzzz
628347032240041984***,***😂😂plm
628346637040099328***,***Maldito internet😡
628145313698705408***,***Uhhh fernanda qla ve wsp
628009773124952065***,***Que paja
627912786941771776***,***Yo amo dormir hasta tarde 😏😻
627910474210889728***,***Porque  pasan tan rapidos los fds😖😭
627908720828227584***,***RT @SofiaVegaContre: es ley de vida lo que sube alguna vez vuelve a caer hay que entender que lo que muere nunca volvera a nacer ☝🏻
627892560250466304***,***Yo si o si me tiro en paracaidas 😍
627870014272589824***,***Wiii salio la tercera temporada😍
627723592462114816***,***Pelicula qla buena😍
627648785129336832***,***Tengi frio por la chuchaaa
627648590077427712***,***Voy a explotaaar
627648489611264000***,***RT @SofiaVegaContre: ahora me importa un pene lo que piensen de mi 😚🙆🏼
627648436620427264***,***RT @eileen_atorres: Quiero verano para salir a tomarme unas micheladas en las tarde☀😻
627335270770298881***,***Tengo tuto😴
627334350661636096***,***RT @PedritoEngel: #Tauro Se viene rico conchetumaaare, desee todo lo q quiera y eso llegara. No a las manas ni al aweonamiento. Subira la a…
627333806811414528***,***Prefiere solteria, no cree en el amor la vida sin compromiso, para ella tiene mas color
627331568307204096***,***Quiero ver una peli🎬
627325932085342209***,***No tengo ganas de hacer nada 🙏
627324938769272832***,***✔✔ por weon
627323913714991104***,***Waiting for loveee🎼
627321753065365504***,***Quiero que llegue septiembre🍺
627301837616619520***,***RT @MATI_ZAMORA: con esta lluvia no dan ganas de hacer nada
627301679579459584***,***Solo quiero un beso de esos que  me vuelva loco y que me mate... que me mate 🎤
627299504522457089***,***RT @sebatierra: Igual me gusta mojarme 😰
627297684014125056***,***RT @cataaaamorales: Lo mejor es no sentir nada por nadie.
627297113743970304***,***Ayer me besaste y no podias parar y me bailaste hasta el amanecer
627292125365977088***,***RT @aranplf: me gusta la bachata
627287849277202432***,***@fer15_rodriguez ya lo vere altiro
627287248745140224***,***Vere el video que dijo el agustin🌚
627286736314499072***,***How deep is your loveee🎼
627283244707356673***,***Quiero un gatito. 😻😻😻
627280934040113152***,***Es mjr no sentir nah ser una piedra
627277874630946816***,***Paso todo el dia cantando o escuchando musica
627277690043822080***,***@fer15_rodriguez mmm explicamelo por wsp
627277472778846208***,***@fer15_rodriguez  y que se yo quien es el
627277189197758464***,***@fer15_rodriguez que tomas O.o
627276933118722048***,***Es como de aweona
627276862578892801***,***RT @franisidoraaa: Me da mucha risa la risa de la fernanda ajsjsjsjsjjs
627276588887994369***,***Extrano ver videos con la cami
627276323875123200***,***Mg mi margarita 😊
627275937088978944***,***@fer15_rodriguez cante la cancion que siempre canto Jsksjs
627275714694369280***,***Lindos ojos
627275295389691905***,***@fer15_rodriguez JAJSJSJ❤❤❤❤❤
627275035611414528***,***@fer15_rodriguez te conozco acaso?
627274634921164800***,***@fer15_rodriguez y quien eri tu
627274220460986368***,***@fer15_rodriguez yo masss❤
627274116974911488***,***Es raro que seamos tan tiernas con la fernanda, nos vivimos pegando 😏
627273947592196097***,***@fer15_rodriguez adivina quien te extrana tmbbb🙆
627273879526993920***,***@fer15_rodriguez tuuuu❤
627273607916466176***,***Me duele la cabezaaa😥
627175327207399424***,***Quiero dormir un ratito😴
627152384289062912***,***Que risa esa caida💞
627151255102693376***,***RT @eileen_atorres: Hasta cuaaaaando vas a seguir pensando y te decidiras que no miraras hacia atras y saber que soy capaz de tenerte😏
626968263960973312***,***Nunca podre quedarme dormida temprano😔😔
626966660315004929***,***RT @YolandaSultanaH: TAURO: Aproveche esta nueva chance que tiene, no la deje escapar de sus manos. Las drogas no haran que los problemas d…
626962721704120320***,***A las 1 dormire lo jurooo😏
626961267446673409***,***Y como que justo me hablo😏🙊
626961191202594816***,***No puedo dormir😂
626952815525654529***,***@eileen_atorres ve wsp por que no entendi algo JAJS💞💞💞💞
626952438277373953***,***RT @conipico: si no te gusta el pan con palta, no podemos ser amigos.
626952216704905216***,***Yo se que la eileen me tiene paciencia explicandome💞
626941820887560192***,***Ohhh😻😻😻
626940927781793792***,***Sebaaa😍
626940380139925504***,***Tengo pegada esa cancion😕
626934340463796224***,***Tu cuerpo me hace bien, nunca me hace mal me hace respirar muy hondo, profundo
626933621719474176***,***Weoon loco
626933077693104128***,***RT @FraseDeSarcasmo: El secreto esta en seguir adelante despues de las decepciones.
626930599056535552***,***RT @SoyBobMarley: “Que linda esa gente con quien se puede hablar por horas sin aburrirse.”
626929828504186880***,***RT @eileen_atorres: A que no te atreves a bailar conmigo y decirle a el que somos mas que amigos
626925977361379328***,***Estoy super preocupadaa😓
626925538586828800***,***Tengo que empezar a leer ese libro😏
626925258591862784***,***Que ricuuu
626921665449082880***,***Comi dmssss😓
626921391175155712***,***Maaaldito tiempo 😕 http://t.co/je8IWNGjv3
626796489851957248***,***Me siento maaaal😩
626611498496884736***,***Tengo que dormirrrr😒
626611428556992512***,***RT @conicarrillo97: odio a los minos que se hacen los bacancitos
626600215206830081***,***RT @AndreGonzalez_E: #SumaPuntosSi tiene margaritas Como yo😍
626600136559448064***,***Que bacan el iphone 7 que saldra no necesita cargar la bateria😥
626576111615483904***,***Quiero leche con platano 😻
626573617896267776***,***RT @Leivoon: todo tiempo pasado fue mejor
626566206485590016***,***Mi mama ya empezo con su wea de sila
626562673807900672***,***Malditos dolores
626562583366115329***,***@fer15_rodriguez yo mas😘😘
626562456710721536***,***@_JavieraV te amo 😍
626561959245291520***,***Es que soltera la pasa cabronnn
626561726360719360***,***Me dice su mirada que no quiere nada serio que no vengan hablarle de amorrrr
626560813965406208***,***Pero me supera 😕
626560720323395584***,***Mg webiar a la fernanda cuando se enoja
626560164552949764***,***Cuando tengo mucho sueno o hambre ando de mal humor
626559739758026754***,***RT @keslypamelamv: De lejitos nms, si asi lo quiso
626559379597336576***,***Quiero nuevos audifonos 😔
626559250337296384***,***Maldito tiempo, que no lluevaaa🙌
626558368900083714***,***Cambiare la panatalla siosi 😓
626558032160366592***,***Cosa que no pasara 😏
626557950157570049***,***RT @contangas: Llevo un dia y no quiero ir mas a clases
626557917001555968***,***Ojala la wea que baje funcione si se me llega a perder el celu
626557461957345280***,***Tu a mi me encantas pero cuando sales sola no con amigas porque asi te descontrolas🎵
626556386034454529***,***Sera que cupido se equivoco con los dos o fue que escribio nuestra historia en diferente renglon
626555122752069632***,***Es irracional este sentimiento que no detengo, me va consumiendooo🎶
626554398496399361***,***RT @catalinabelenpc: Perdi el interes😶
626554037639512064***,***Ojala los examenes salgan bien 😥
626551714896826368***,***Mami no me compares que yo no compito😏
626544597284581376***,***Me encanta el choclo🌽😻
626543802392645632***,***@fer15_rodriguez aprendiendo 😘😏 jJAJA
626542644404068352***,***Que chanta eres wn 😂
626538919342026752***,***Me tengo que poner las 🔋🔋
626538372685762560***,***Que paja que mnn salgamos a las 5 😞
626536743215472641***,***Dormi toda la tarde y todavia tengo sueno jajaja😔
626533924966170624***,***Me duele dms la cabeza 😓
626329220050984961***,***Ctm que hace frio 😓
626225954579443713***,***Tengo sueno😴
626225323663847424***,***Y van de la mano
626224399096619008***,***RT @_dsanguinetti: A mi me niegan y yo mando a la chucha altiro.
626222007290626050***,***RT @Leivoon: ohh la cago mina culia loca wn
626221486253211648***,***Buta la mariaaaa jjajs
626221298553892864***,***RT @UrbinaYassna: ¿Voy a salir en la tele? JAJJAJAJ te pasaste! 😂 #ManosAlFuego
626220846219137026***,***JAJSJSJSJ la cago
626214040809930752***,***tan rapido reacciono JAJSKA
626213271947857920***,***Extrano al fredes😔
626207486186520579***,***Me costara mucho levantarme 😐
626206794881351680***,***Quiero veranoooooo🏊
626204377565560832***,***Uhhh mnn vuelta a la rutina 😒
626089532748918784***,***RT @Cami_cabeza: " El peor arrepentimiento es el de las cosas que no nos animamos a hacer"✊
626088319034740737***,***Me retaran 😿
625897510574407681***,***RT @_JavieraV: quiero ver ciudades de papel plch :'(
625886248561963008***,***@_JavieraV weas que pasan 😘😘😘
625882671768600576***,***@_JavieraV ultima vez 6:45 tinini JAJSJSJS😿😿😿❤❤
625882089448206336***,***Denante le habia hablado a la javi por wsp jjajsjsjs  😔
625881707997233154***,***@fer15_rodriguez SKSKSKSJ me acorde de algo
625789213955506176***,***RT @franisidoraaa: Quiero irme del colegio
625725032933785601***,***Y este wn me hablo porque le dio risa mi video o.o
625540283221078016***,***Dormire😴
625536445932011521***,***RT @_belencilla__: Amo al cerdito de gravity falls🐷🐷
625533891156275200***,***RT @vitoko_carrasco: Siempre me da miedo cuando llega un mensaje y dice "oye"😱
625532032593055744***,***Adivina que 🙈 me importa un picooo
625530906053320705***,***Soy muy enojona Y QUE
625529104859811840***,***Nivel ql no puedo pasarloooo😡😡
625528523634147328***,***RT @_danitzam: paciencia pls
625527944614674432***,***@Leivoon yo tmbbbbb😩😩😩😩
625527724074004480***,***Todo porque me cai 😒
625527457811181568***,***@franisidoraaa JAKSJSJ como que me anduve doblando un poco
625527185886048256***,***@franisidoraaa SUJSKSKSKSJSKSJS MALDITAAAAA
625526300707569664***,***@DayenuBarra SUSJKS si cache que estabas tu wna jasjksjs
625525786150371328***,***O.o http://t.co/2d2GuOftis
625525174700539904***,***Que ondaaaa
625522193909329920***,***Bucha que ricooo
625521244327297024***,***Mama despiertaaaa tengo hambreee
625520782010155008***,***Chao chao
625517060458737664***,***OH QUE LA CAGOOI
625513780051607552***,***Aaaandate a la chuuuuuu
625513504842326017***,***@fer15_rodriguez te juro que me enoje fdw
625513196921688064***,***Me enojeee
625513065543548929***,***Seba ql JAJAJAJAJ QUE RISAAA!!!😂😂
625511537709568000***,***Humillada por la fernanda
625511535637590018***,***La odio
625508419043262464***,***BTA LA WEA
625507944222863360***,***@fer15_rodriguez cual?
625507548179886080***,***@fer15_rodriguez me enojare
625504167323373568***,***@fer15_rodriguez te odio
625503565319143424***,***RT @SoyMaIuma: "Duele que te decepcione alguien que creias diferente."
